Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (CSR),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field ( Type of Bug [Challenge] ),Custom field (CPU),Custom field (CPU),Custom field (Cost of Delay),Custom field (Epic Link),Custom field (Imported),Custom field (Indexed),Custom field (Introduced In Build),Custom field (Introduced In Version),Custom field (Number of Tests Affected [Challenge]),Custom field (OS),Custom field (OS),Custom field (OS),Custom field (Oracle Evaluation),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Resolved In Build),Custom field (Story Points),Custom field (Subcomponent),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time Spent),Custom field (Understanding),Custom field (Value),Custom field (Verification),Custom field (external_bug),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Fix container tests for jdks with symlinked conf dir,JDK-8309138,5102142,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,zzambers,zzambers,zzambers,2023-05-30 14:35,2023-07-24 21:46,2023-10-01 09:55,2023-06-01 09:28,,,,,,,21,hotspot,,0,containers,jdk11u-fix-request,jdk11u-fix-yes,jdk17u-fix-request,jdk17u-fix-yes,noreg-self,,,,,,,,"Problem:
Container tests copy tested jdk into container to do testing on it. This however does not work correctly for builds, in which conf directory is symlinked (such as fedora/rhel packages), causing failures due to missing config files in container.

Solution:
Symlinks are followed when copying tested jdk.",,,,,,,,,,,JDK-8310036,JDK-8312669,JDK-8310044,JDK-8312217,JDK-8311772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31q63:",9223372036854775807,b26,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@762b8a4b,,,,,,,,,"2023-05-30 14:42;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/14230
Date: 2023-05-30 21:36:22 +0000;;;","2023-05-31 01:39;sgehwolf;Reproducer:
$ cp -r ./build/linux-x86_64-server-release/images/jdk jdk21-jdk
$ cp -r jdk21-jdk/conf/ external-conf
$ rm -rf jdk21-jdk/conf/
$ cd jdk21-jdk/
$ ln -s ../external-conf/ conf
$ ls -l
total 32
drwxr-xr-x.  2 sgehwolf sgehwolf 4096 May 31 10:28 bin
lrwxrwxrwx.  1 sgehwolf sgehwolf   17 May 31 10:29 conf -> ../external-conf/
drwxr-xr-x.  4 sgehwolf sgehwolf 4096 May 31 10:28 demo
drwxr-xr-x.  3 sgehwolf sgehwolf 4096 May 31 10:28 include
drwxr-xr-x.  2 sgehwolf sgehwolf 4096 May 31 10:28 jmods
drwxr-xr-x. 72 sgehwolf sgehwolf 4096 May 31 10:28 legal
drwxr-xr-x.  5 sgehwolf sgehwolf 4096 May 31 10:28 lib
drwxr-xr-x.  3 sgehwolf sgehwolf 4096 May 31 10:28 man
-rw-r--r--.  1 sgehwolf sgehwolf 1262 May 31 10:28 release
$ ./bin/java -version
openjdk version ""21-internal"" 2023-09-19
OpenJDK Runtime Environment (build 21-internal-adhoc.sgehwolf.jdk-jdk)
OpenJDK 64-Bit Server VM (build 21-internal-adhoc.sgehwolf.jdk-jdk, mixed mode, sharing)
$ cd ../
[root@foobar jdk-jdk]# rm -rf JTwork JTreport && /disk/openjdk/upstream-sources/jtreg-7.2+1/bin/jtreg -verbose:summary -jdk:$(pwd)/jdk21-jdk/ -Djdk.test.docker.image.name=fedora -Djdk.test.docker.image.version=37  test/hotspot/jtreg/containers/
Directory ""JTwork"" not found: creating
Directory ""JTreport"" not found: creating
Passed: containers/cgroup/CgroupSubsystemFactory.java
Passed: containers/cgroup/PlainRead.java
Passed: containers/docker/DockerBasicTest.java
Passed: containers/docker/ShareTmpDir.java
FAILED: containers/docker/TestCPUAwareness.java
Passed: containers/docker/TestCPUSets.java
FAILED: containers/docker/TestJcmd.java
FAILED: containers/docker/TestJcmdWithSideCar.java
FAILED: containers/docker/TestJFREvents.java
FAILED: containers/docker/TestJFRNetworkEvents.java
Error:  containers/docker/TestJFRWithJMX.java
FAILED: containers/docker/TestMemoryAwareness.java
FAILED: containers/docker/TestMemoryWithCgroupV1.java
Passed: containers/docker/TestMisc.java
Passed: containers/docker/TestPids.java
Test results: passed: 7; failed: 7; error: 1

Tests fail with (for example TestCPUAwareness.java):
Metrics.getMemoryUsage() == 14032896
Exception in thread ""main"" java.lang.InternalError: Error loading java.security file
        at java.base/java.security.Security.initialize(Security.java:105)
        at java.base/java.security.Security.lambda$static$0(Security.java:84)
        at java.base/java.security.AccessController.doPrivileged(AccessController.java:319)
        at java.base/java.security.Security.<clinit>(Security.java:83)
        at java.base/sun.security.util.SecurityProperties.getOverridableProperty(SecurityProperties.java:57)
        at java.base/sun.security.util.SecurityProperties.privilegedGetOverridable(SecurityProperties.java:48)
        at java.base/sun.security.util.SecurityProperties.includedInExceptions(SecurityProperties.java:72)
        at java.base/sun.security.util.SecurityProperties.<clinit>(SecurityProperties.java:36)
        at java.base/sun.security.util.FilePermCompat.<clinit>(FilePermCompat.java:43)
        at java.base/java.io.FilePermission.init(FilePermission.java:319)
        at java.base/java.io.FilePermission.<init>(FilePermission.java:490)
        at java.management/java.lang.management.ManagementFactory$PlatformMBeanFinder.<clinit>(ManagementFactory.java:929)
        at java.management/java.lang.management.ManagementFactory.getPlatformMXBean(ManagementFactory.java:689)
        at java.management/java.lang.management.ManagementFactory.getOperatingSystemMXBean(ManagementFactory.java:391)
        at CheckOperatingSystemMXBean.main(CheckOperatingSystemMXBean.java:42)
];
 stderr: []
 exitValue = 1
;;;","2023-06-01 09:28;dukebot;Changeset: ec555395
Author:    Zdenek Zambersky <zzambers@openjdk.org>
Committer: Severin Gehwolf <sgehwolf@openjdk.org>
Date:      2023-06-01 16:25:53 +0000
URL:       https://git.openjdk.org/jdk/commit/ec55539534d43629c1a47407a8e2e94913034a71
;;;","2023-06-06 17:10;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk17u-dev/pull/1417
Date: 2023-06-07 00:05:11 +0000;;;","2023-06-06 18:34;zzambers;Fix request (17u):

Fixes container tests for jdk with symlinked conf dir (such as fedora/rhel packages).
Clean backport, only affects tests, tier1 and container tests passed

;;;","2023-06-13 08:01;zzambers;Fix request (11u):

Fixes container tests for jdk with symlinked conf dir (such as fedora/rhel packages).
Clean backport, only affects tests, tier1 and container tests passed ;;;","2023-06-13 08:05;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk11u-dev/pull/1944
Date: 2023-06-13 14:59:13 +0000;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AArch64: guarantee(T != T2S) failed: ""incorrect arrangement"" after JDK-8307795",JDK-8309129,5102127,Bug,Closed,JDK,JDK,software,duke,,,P2,Fixed,cpeng,thartmann,thartmann,2023-05-30 11:30,2023-07-11 05:43,2023-10-01 09:55,2023-06-05 04:34,21,,,,,,21,hotspot,,0,c2,oracle-triage-11,oracle-triage-17,oracle-triage-21,problemlist,regression,tier3,vectorapi,,,,,,"jdk/incubator/vector/Float64VectorTests.java fails with:

# A fatal error has been detected by the Java Runtime Environment:
#
#  Internal Error (assembler_aarch64.hpp:2641), pid=586848, tid=586863
#  guarantee(T != T2S) failed: incorrect arrangement
#
# JRE version: Java(TM) SE Runtime Environment (21.0+25) (build 21-ea+25-LTS-2170)
# Java VM: Java HotSpot(TM) 64-Bit Server VM (21-ea+25-LTS-2170, mixed mode, sharing, compressed oops, compressed class ptrs, g1 gc, linux-aarch64)
# Problematic frame:
# V  [libjvm.so+0x36ef04]  Assembler::addv(FloatRegister, Assembler::SIMD_Arrangement, FloatRegister)+0xe4


Current CompileTask:
C2:   9077 2118 %  b        Float64VectorTests::maskCompressFloat64VectorTestsSmokeTest @ 22 (135 bytes)

Stack: [0x0000ffff92dfd000,0x0000ffff92ffd000],  sp=0x0000ffff92ff8c40,  free space=2031k
Native frames: (J=compiled Java code, j=interpreted, Vv=VM code, C=native code)
V  [libjvm.so+0x36ef04]  Assembler::addv(FloatRegister, Assembler::SIMD_Arrangement, FloatRegister)+0xe4  (assembler_aarch64.hpp:2641)
V  [libjvm.so+0x35a2a4]  vstoremask_truecount_neonNode::emit(CodeBuffer&, PhaseRegAlloc*) const+0x324  (aarch64_vector.ad:5531)
V  [libjvm.so+0xb89918]  PhaseOutput::scratch_emit_size(Node const*)+0x1a8  (output.cpp:3245)
V  [libjvm.so+0xb862d8]  PhaseOutput::shorten_branches(unsigned int*)+0x1d8  (output.cpp:539)
V  [libjvm.so+0xb8cec0]  PhaseOutput::Output()+0x480  (output.cpp:340)
V  [libjvm.so+0x598cc8]  Compile::Code_Gen()+0x458  (compile.cpp:2971)
V  [libjvm.so+0x59c134]  Compile::Compile(ciEnv*, ciMethod*, int, Options, DirectiveSet*)+0x10b4  (compile.cpp:875)
V  [libjvm.so+0x4d2cac]  C2Compiler::compile_method(ciEnv*, ciMethod*, int, bool, DirectiveSet*)+0xf8  (c2compiler.cpp:118)
V  [libjvm.so+0x5a1614]  CompileBroker::invoke_compiler_on_method(CompileTask*)+0x9b4  (compileBroker.cpp:2265)
V  [libjvm.so+0x5a3ed8]  CompileBroker::compiler_thread_loop()+0x384  (compileBroker.cpp:1944)
V  [libjvm.so+0x80b354]  JavaThread::thread_main_inner() [clone .part.0]+0xa4  (javaThread.cpp:719)
V  [libjvm.so+0xced608]  Thread::call_run()+0xa8  (thread.cpp:217)
V  [libjvm.so+0xb767dc]  thread_native_entry(Thread*)+0xdc  (os_linux.cpp:775)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8307795,,,,,"2023-05-30 11:32;thartmann;hs_err_pid2445203.log;https://bugs.openjdk.org/secure/attachment/104115/hs_err_pid2445203.log","2023-05-30 11:32;thartmann;replay_pid2445203.log;https://bugs.openjdk.org/secure/attachment/104116/replay_pid2445203.log",,,,,,aarch64,,,,,,,,,,,,,,,"0|i31q2r:",9223372036854775807,b26,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@6a4709f4,,,,,,,Verified,,"2023-05-30 13:22;dcubed;Bumping from P3 -> P2 since regressions start at P2
and there isn't an explicit ILW analysis justifying a P3.;;;","2023-05-30 19:00;cpeng;Sorry, I am fixing this problem.;;;","2023-05-30 21:58;thartmann;ILW = Guarantee failure during C2 compilation, tier3 with single vector API test on AArch64, no workaround but disable compilation of affected method = HMM = P2;;;","2023-05-31 03:33;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/14245
Date: 2023-05-31 10:25:07 +0000;;;","2023-06-05 04:34;dukebot;Changeset: 6d511f13
Author:    changpeng1997 <Chang.Peng@arm.com>
Committer: Tobias Hartmann <thartmann@openjdk.org>
Date:      2023-06-05 11:32:53 +0000
URL:       https://git.openjdk.org/jdk/commit/6d511f1376e3a0183a484443d05142678bdaa1c2
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
java/net/httpclient/AsyncShutdownNow.java fails intermittently,JDK-8309120,5102114,Bug,Closed,JDK,JDK,software,duke,,,P3,Fixed,dfuchs,dfuchs,dfuchs,2023-05-30 08:40,2023-07-21 07:36,2023-10-01 09:55,2023-05-31 03:51,21,,,,,,21,core-libs,,0,httpclient,intermittent,regression,,,,,,,,,,,"Waiting for HTTP operations to terminate...
	gracedelay: 5000 ms, iterations: 500, wait/iteration: 10ms
WARNING: tracker for HttpClientImpl(4) has outstanding operations:
	Pending HTTP Requests: 0
	Pending HTTP/1.1 operations: 0
	Pending HTTP/2 streams: 0
	Pending WebSocket operations: 0
	Pending TCP connections: 1
	Pending Subscribers: 0
	Total pending operations: 0
	Facade referenced: false
	Selector alive: false
Found 0 client still active, with 0 operations still pending out of 8 tracked clients.
AssertionError: Found some outstanding unclosed resources in 8 clients after 500 iterations and 14676 ms, waited 5000 ms
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8308310,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31pzv:",9223372036854775807,b25,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@446e124a,,,,,,,Verified,,"2023-05-30 09:03;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/14223
Date: 2023-05-30 15:57:55 +0000;;;","2023-05-31 03:51;dukebot;Changeset: 4aea7dab
Author:    Daniel Fuchs <dfuchs@openjdk.org>
Date:      2023-05-31 10:49:20 +0000
URL:       https://git.openjdk.org/jdk/commit/4aea7dab152de4c61724eec9a40024c990f8dabc
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[17u/11u] Redo JDK-8297951: C2: Create skeleton predicates for all If nodes in loop predication,JDK-8309119,5102113,Bug,Resolved,JDK,JDK,software,duke,,,P3,Fixed,chagedorn,sgehwolf,sgehwolf,2023-05-30 08:18,2023-08-15 22:07,2023-10-01 09:55,2023-07-13 23:51,11.0.20,17.0.8,,,,,17.0.9,hotspot,,0,20-na,21-na,c2,jdk17u-fix-request,jdk17u-fix-yes,oracle-triage-21,,,,,,,,JDK-8297951 got backed out with JDK-8308884 for 17.0.8 (or 11.0.20). This patch needs to be re-done for 17.0.9 (or 11.0.21) together with a fix for JDK-8307683 also targeting 17.0.9 (or 11.0.21).,,,,,,,,,,,JDK-8313861,JDK-8314343,,,,,,,,,,,,,,,,,,,,JDK-8308884,JDK-8297951,,,JDK-8307683,,,,,,,,,,,,generic,,,,,,,,,generic,,,,,,"0|i31pzn:",9223372036854775807,b01,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@6a4709f4,,,,,,,,,"2023-05-30 22:42;thartmann;ILW = Same as JDK-8297951 = P3;;;","2023-06-25 23:39;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk17u-dev/pull/1497
Date: 2023-06-26 06:33:52 +0000;;;","2023-07-13 23:06;goetz;Fix request [17u]

The redo is needed after fixing 8307683. 
Clean patch, but needs to be resolved after 8307683
SAP nightly testing passed. Test passes.;;;","2023-07-13 23:51;dukebot;Changeset: a6ef655b
Author:    Goetz Lindenmaier <goetz@openjdk.org>
Date:      2023-07-14 06:48:03 +0000
URL:       https://git.openjdk.org/jdk17u-dev/commit/a6ef655b6f98fc2e1c4aa04525b91485b372aaff
;;;","2023-08-02 04:37;dukebot;Changeset: a6ef655b
Author:    Goetz Lindenmaier <goetz@openjdk.org>
Date:      2023-07-14 06:48:03 +0000
URL:       https://git.openjdk.org/jdk17u/commit/a6ef655b6f98fc2e1c4aa04525b91485b372aaff
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Build failure after JDK-8307795 due to warnings in micro-benchmark StoreMaskTrueCount.java,JDK-8309110,5102104,Bug,Closed,JDK,JDK,software,duke,,,P1,Fixed,jiefu,jiefu,jiefu,2023-05-30 06:27,2023-07-11 05:10,2023-10-01 09:55,2023-05-30 06:46,21,,,,,,21,hotspot,,0,oracle-triage-11,oracle-triage-17,oracle-triage-21,tencent-interest,tier1,vectorapi,,,,,,,,"* For target support_test_micro_classes__the.BUILD_JDK_MICROBENCHMARK_batch:
/Users/jiefu/jdk/build/macosx-aarch64-server-fastdebug/support/test/micro/classes/org/openjdk/bench/jdk/incubator/vector/jmh_generated/StoreMaskTrueCount_testInt_jmhTest.java:78: warning: [static] static method should be qualified by type name, StoreMaskTrueCount, instead of by an expression
                blackhole.consume(l_storemasktruecount0_0.testInt());
                                                         ^
/Users/jiefu/jdk/build/macosx-aarch64-server-fastdebug/support/test/micro/classes/org/openjdk/bench/jdk/incubator/vector/jmh_generated/StoreMaskTrueCount_testInt_jmhTest.java:88: warning: [static] static method should be qualified by type name, StoreMaskTrueCount, instead of by an expression
                    blackhole.consume(l_storemasktruecount0_0.testInt());
                                                             ^
/Users/jiefu/jdk/build/macosx-aarch64-server-fastdebug/support/test/micro/classes/org/openjdk/bench/jdk/incubator/vector/jmh_generated/StoreMaskTrueCount_testInt_jmhTest.java:119: warning: [static] static method should be qualified by type name, StoreMaskTrueCount, instead of by an expression
            blackhole.consume(l_storemasktruecount0_0.testInt());
                                                     ^
/Users/jiefu/jdk/build/macosx-aarch64-server-fastdebug/support/test/micro/classes/org/openjdk/bench/jdk/incubator/vector/jmh_generated/StoreMaskTrueCount_testInt_jmhTest.java:145: warning: [static] static method should be qualified by type name, StoreMaskTrueCount, instead of by an expression
                blackhole.consume(l_storemasktruecount0_0.testInt());
                                                         ^
/Users/jiefu/jdk/build/macosx-aarch64-server-fastdebug/support/test/micro/classes/org/openjdk/bench/jdk/incubator/vector/jmh_generated/StoreMaskTrueCount_testInt_jmhTest.java:155: warning: [static] static method should be qualified by type name, StoreMaskTrueCount, instead of by an expression
                    blackhole.consume(l_storemasktruecount0_0.testInt());
                                                             ^
   ... (rest of output omitted)",,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8309112,,,,JDK-8307795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31pxn:",9223372036854775807,b25,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@6a4709f4,,,,,,,Verified,,"2023-05-30 06:35;thartmann;This breaks our builds. We need to fix this immediately or back out JDK-8307795.

[~jiefu] do you have a fix ready?;;;","2023-05-30 06:37;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/14218
Date: 2023-05-30 13:31:16 +0000;;;","2023-05-30 06:46;dukebot;Changeset: 15e02853
Author:    Jie Fu <jiefu@openjdk.org>
Date:      2023-05-30 13:43:14 +0000
URL:       https://git.openjdk.org/jdk/commit/15e028530ad6408693e9f21fb94daa705b951897
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AArch64: [TESTBUG] compiler/intrinsics/sha/cli/TestUseSHA3IntrinsicsOptionOnSupportedCPU.java fails on Neoverse N2 and V1,JDK-8309109,5102103,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,haosun,haosun,haosun,2023-05-30 06:15,2023-07-12 13:35,2023-10-01 09:55,2023-06-27 19:01,17,18,19,20,21,,22,hotspot,,0,noreg-self,oracle-triage-22,,,,,,,,,,,,"`UseSHA3Intrinsics` was introduced in JDK-8252204, but it was not
auto-enabled due to the lack of real hardware. 

After JDK-8297092, `UseSHA3Intrinsics` is only auto-enabled on hardware with performance benefit. See the code https://github.com/openjdk/jdk/pull/11382/files#diff-a87e260510f34ca7d9b0feb089ad982be8268c5c8aa5a71221f6738b051ea488R338-R345

As a result, test case compiler/intrinsics/sha/cli/TestUseSHA3IntrinsicsOptionOnSupportedCPU.java fails on Neoverse N2 and V1.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8297092,JDK-8252204,,,,,,,,,,,aarch64,,,,,,,,,,,,,,,"0|i31pxf:",9223372036854775807,b04,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@6a4709f4,,,,,,,,,"2023-06-18 18:08;haosun;This test case compiler/intrinsics/sha/cli/TestUseSHA3IntrinsicsOptionOnSupportedCPU.java was introduced in JDK-8252204. Due to the lack of real hardware, it was not fulled evaluted.
I suppose, this case would fail on Neonverse N2/V1 as well then. But it was not exposed since the jtreg test case was only run on simulator.

Hence, the ""Affects Versions"" label is assigned to ""17, 18, 19, 20, 21"".;;;","2023-06-19 23:40;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/14551
Date: 2023-06-20 06:35:15 +0000;;;","2023-06-22 05:59;thartmann;ILW = Test fails because requires condition does not work as expected (test bug), single test on Neoverse, no workaround = MLH = P4;;;","2023-06-27 19:01;dukebot;Changeset: afdaa2a3
Author:    Hao Sun <haosun@openjdk.org>
Date:      2023-06-28 02:00:09 +0000
URL:       https://git.openjdk.org/jdk/commit/afdaa2a3305461538f3a36de2b0b540fe2da9b37
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.7: Clarify that an unnamed top-level class does not have a fully qualified or canonical name,JDK-8309105,5102099,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,gbierman,gbierman,gbierman,2023-05-30 05:27,2023-06-04 20:13,2023-10-01 09:55,2023-05-31 02:58,,,,,,,21,specification,,0,noreg-doc,,,,,,,,,,,,,The spec change document for JEP 445 (Unnamed classes and instance main methods) would be improved if it explicitly asserted that unnamed top-level classes do not have fully qualified or canonical names. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31pwj:",9223372036854775807,b25,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@7441ef8d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[JVMCI] compiler/unsafe/UnsafeGetStableArrayElement test asserts wrong values with Graal,JDK-8309104,5102098,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,davleopo,davleopo,davleopo,2023-05-30 05:25,2023-08-15 22:09,2023-10-01 09:55,2023-06-05 00:57,21,,,,,,21,hotspot,,0,jvmci,noreg-self,oracle-triage-21,,,,,,,,,,,"JDK-8264135 introduced changes to the UnsafeGetStableArrayElement test to account for the case that the test is run with the Graal compiler. If Graal is used it will assert that constants are folded by asserting matching instead of mismatch.

Since JDK-8275645 Graal no longer constant folds unaligned reads and thus the UnsafeGetStableArrayElement test fails for the unaligned cases because it tests that Graal actually folds them. 

The test should be adapted to assert mismatch instead of match for the unaligned Test::testS_U,Test::testC_U,Test::testI_U,Test::testJ_U tests.",,,,,,,,,,,JDK-8313990,JDK-8314354,,,,,,,,,,,,,,,,,,,,JDK-8264135,JDK-8275645,,,JDK-8310055,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i31pwb:",9223372036854775807,b26,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@6a4709f4,,,,,,,,,"2023-05-30 22:51;thartmann;ILW = Test fails because constant folding is not performed, single test with Graal, no workaround = MLH = P4;;;","2023-05-31 02:06;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/14242
Date: 2023-05-31 08:46:19 +0000;;;","2023-06-05 00:57;dukebot;Changeset: 11fb5b22
Author:    David Leopoldseder <davleopo@openjdk.org>
Committer: Doug Simon <dnsimon@openjdk.org>
Date:      2023-06-05 07:54:42 +0000
URL:       https://git.openjdk.org/jdk/commit/11fb5b2209124bbf1100657e340ba5aebc3820d7
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove UTF-8 character from TaskbarPositionTest.java,JDK-8309095,5102086,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,rkannathpari,rkannathpari,rkannathpari,2023-05-30 02:51,2023-08-09 06:26,2023-10-01 09:55,2023-05-30 05:13,21,,,,,,21,client-libs,,0,cssn23_05_02,jdk11u-sap-interest,jdk17u-fix-request,jdk17u-fix-yes,noreg-self,sustaining,,,,,,,,"JDK-8289547 added a UTF-8 character (↓) into TaskbarPositionTest.java which causes compilation errors when previous version of Java are used (if the system code page isn't UTF-8).


TaskbarPositionTest.java:64: error: unmappable character (0xE2) for encoding US-ASCII
 * The test uses Ctrl+Down Arrow (???) which is a system shortcut on macOS,

The character is not essential, it can be removed safely.",,,,,,,,,,,JDK-8309359,JDK-8309449,JDK-8314043,JDK-8309299,JDK-8309301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,"0|i31ptn:",9223372036854775807,b25,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@568a5b31,,,,,,,,,"2023-05-30 04:41;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/14212
Date: 2023-05-30 11:22:06 +0000;;;","2023-05-30 05:13;dukebot;Changeset: 07f20704
Author:    Renjith <renjith.kannath.pariyangad@oracle.com>
Committer: Alexey Ivanov <aivanov@openjdk.org>
Date:      2023-05-30 12:11:34 +0000
URL:       https://git.openjdk.org/jdk/commit/07f2070411b3bff5608166ceae0e0bdbf155e7c2
;;;","2023-08-08 05:53;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk17u-dev/pull/1651
Date: 2023-08-08 12:46:34 +0000;;;","2023-08-08 05:56;mdoerr;Fix Request (17u): 
Should get backported for parity with 17.0.9-oracle. Applies cleanly. Trivial test change.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underscore with brackets,JDK-8309093,5102084,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,abimpoudis,abimpoudis,abimpoudis,2023-05-30 02:17,2023-06-08 17:44,2023-10-01 09:55,2023-06-01 23:17,21,,,,,,21,tools,,0,conformance,tck-red-21,,,,,,,,,,,,"The following snippet compiles, while the grammar prohibits it:

   for (int _[] : new int[][]{new int[]{1}, new int[]{2}}) { }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8302344,,,,,,,,,,,,,,,,,,,,,,b24,,,,,,,,,"0|i31pt7:",9223372036854775807,b26,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@4dca67bd,,,,,,,,,"2023-05-30 07:43;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/14217
Date: 2023-05-30 13:13:30 +0000;;;","2023-06-01 23:17;dukebot;Changeset: 80075997
Author:    Aggelos Biboudis <abimpoudis@openjdk.org>
Committer: Jan Lahoda <jlahoda@openjdk.org>
Date:      2023-06-02 06:14:57 +0000
URL:       https://git.openjdk.org/jdk/commit/8007599756ad9052afaa64044bb4703e813dc080
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
