Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (CSR),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field ( Type of Bug [Challenge] ),Custom field (CPU),Custom field (CPU),Custom field (Cost of Delay),Custom field (Epic Link),Custom field (Imported),Custom field (Indexed),Custom field (Introduced In Build),Custom field (Introduced In Version),Custom field (Number of Tests Affected [Challenge]),Custom field (OS),Custom field (OS),Custom field (Oracle Evaluation),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Resolved In Build),Custom field (Story Points),Custom field (Subcomponent),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time Spent),Custom field (Understanding),Custom field (Value),Custom field (Verification),Custom field (external_bug),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
jrt-fs.jar not always deterministically built,JDK-8283315,5070487,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,aleonard,aleonard,aleonard,2022-03-17 03:30,2022-05-27 08:29,2023-10-01 09:56,2022-03-18 06:42,19,,,,,,,,,19,infrastructure,,0,jdk17u-fix-request,jdk17u-fix-yes,reproducible-build,,,,,,,,,,,,,,,,"jrt-fs.jar builds identically if built on the exact same physical machine, but if for example it is built on an Intel architecture xLinux machine and then the same source on an AMD architecture machine, it is always different.
Eg.Diff of same jdk-19 source built on an Intel vs AMD:
anleonar@anleonar-mac Downloads % diff -r jdk1 jdk2
Binary files jdk1/jdk-19+14/jmods/java.base.jmod and jdk2/jdk-19+14/jmods/java.base.jmod differ
Binary files jdk1/jdk-19+14/lib/jrt-fs.jar and jdk2/jdk-19+14/lib/jrt-fs.jar differ
Binary files jdk1/jdk-19+14/lib/server/classes_nocoops.jsa and jdk2/jdk-19+14/lib/server/classes_nocoops.jsa differ
diff -r jdk1/jdk-19+14/release jdk2/jdk-19+14/release
15c15
< BUILD_INFO=""OS: Linux Version: 5.8.0-34-generic""
---
> BUILD_INFO=""OS: Linux Version: 5.8.0-43-generic""
",,,,,,,,,,,JDK-8287444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linux,,,,,"0|i2wdhf:",9223372036854775807,b15,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@429c566,,,,,,,,,"2022-03-17 03:51;ihse;Ohh...! That's an interesting, and disconcerting, find.

Can you check what's different? If you unzip the files, are the contents identical? ;;;","2022-03-17 03:59;aleonard;Yes, the individual file .class contents are identical, but the problem is the jar zip contents ordering.
I have a fix on its way..
jdk1:
﻿﻿Archive:  jdk1/jdk-19+14/lib/jrt-fs.jar
  Length      Date    Time    Name
---------  ---------- -----   ----
        0  09-20-2022 00:00   META-INF/
      305  09-20-2022 00:00   META-INF/MANIFEST.MF
     5065  09-20-2022 00:00   jdk/internal/jimage/ImageStream.class
     2427  09-20-2022 00:00   jdk/internal/jimage/ImageReader$Directory.class
     2036  09-20-2022 00:00   jdk/internal/jimage/ImageReader$Resource.class
    14875  09-20-2022 00:00   jdk/internal/jimage/BasicImageReader.class
     1411  09-20-2022 00:00   jdk/internal/jimage/ImageBufferCache$2.class
...

jdk2:
Archive:  jdk2/jdk-19+14/lib/jrt-fs.jar
  Length      Date    Time    Name
---------  ---------- -----   ----
        0  09-20-2022 00:00   META-INF/
      305  09-20-2022 00:00   META-INF/MANIFEST.MF
     2816  09-20-2022 00:00   jdk/internal/jrtfs/JrtFileStore.class
     6250  09-20-2022 00:00   jdk/internal/jrtfs/JrtFileAttributeView.class
     3347  09-20-2022 00:00   jdk/internal/jrtfs/JrtFileAttributes.class
     9429  09-20-2022 00:00   jdk/internal/jrtfs/ExplodedImage.class
     1793  09-20-2022 00:00   jdk/internal/jrtfs/JrtFileAttributeView$AttrID.class
...
;;;","2022-03-17 04:00;aleonard;Different CPU architectures, eg.Intel vs AMD can produce different file system query ordering at a low level.;;;","2022-03-17 04:15;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/jdk/pull/7852
Date: 2022-03-17 11:09:24 +0000;;;","2022-03-17 04:26;ihse;I've thought more than once that we would really need to randomize file order to quickly provoke hidden bugs like this. 

I vaguely remember reading about a FUSE filesystem overlay that would do this, but I can't remember now what it was called, and can't find it on Google. I neither don't remember why I thought we could not use it to fuzz up the build; maybe it was just us lacking man power at the time.

Edit: Found it! Disorderfs -- https://salsa.debian.org/reproducible-builds/disorderfs;;;","2022-03-17 04:37;aleonard;Yes, i've come across the difference between Intel and AMD before, so I do my reproducible compares between these two machines to help detect these issues.;;;","2022-03-18 06:42;dukebot;Changeset: 85cc6f14
Author:    Andrew Leonard <aleonard@openjdk.org>
Date:      2022-03-18 13:40:35 +0000
URL:       https://git.openjdk.java.net/jdk/commit/85cc6f1440aa7e073cab894cb9a72d9eed4e8369
;;;","2022-05-26 04:57;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/jdk17u-dev/pull/411
Date: 2022-05-23 14:29:10 +0000;;;","2022-05-26 06:05;aleonard;Fix Request 17u
Backport the patch to allow reproducibility of the generation of jrt-fs.jar, which 
needs jar entry sorting to ensure a deterministic jar.
Applies cleanly.
Tested successfully.
;;;",,,,,,,,,,,,,,,,,,,,,
re-resolving indirect call to non-entrant nmethod can crash,JDK-8283306,5070476,Bug,Resolved,JDK,JDK,software,duke,,,P3,Fixed,dlong,dnsimon,dnsimon,2022-03-17 01:42,2022-05-17 00:28,2023-10-01 09:56,2022-05-05 14:31,19,,,,,,,,,19,hotspot,,0,graal,jdk11-graalvm,jdk17-graalvm,noreg-hard,oracle-triage-11,oracle-triage-17,oracle-triage-19,,,,,,,,,,,,"In SharedRuntime::reresolve_call_site, it is possible for an indirect (i.e. vtable dispatch) call site to be incorrectly decoded as a direct call site on x86 as the decoding blindly inspects the 5th byte prior to the return address. If it is 0xE8 (i.e. opcode of a direct call on x86), then it is determined to be a direct call. However, it could be that there is a 2- or 3-byte indirect call instruction preceded by some other instruction that happens to have 0xE8 at the relevant position. Apparently C1 and C2 never emit such sequences but we're seeing that in rare situations, Graal does. This results in the following crash:

# A fatal error has been detected by the Java Runtime Environment:
#
#  Internal Error (nativeInst_x86.cpp:290), pid=19, tid=0x00007f410b0f4700
#  guarantee(is_aligned, ""destination must be aligned"");

This can be avoided by making reresolve_call_site double check that there is a reloc info of type relocInfo::static_call_type, relocInfo::virtual_call_type or relocInfo::opt_virtual_call_type at the decoded call address. If there's no reloc info, it must be an indirect call and thus call patching is not done.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8276314,JDK-8283056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2wdez:",9223372036854775807,b22,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@6a4709f4,,,,,,,,,"2022-03-17 06:13;chagedorn;ILW = Crash with guarantee when decoding a call site wrongly, rare and only observed with Graal, disable compilation of affected method? = HLM = P3;;;","2022-05-04 00:53;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/jdk/pull/8528
Date: 2022-05-04 07:47:28 +0000;;;","2022-05-05 14:31;dukebot;Changeset: 6d7e4461
Author:    Dean Long <dlong@openjdk.org>
Date:      2022-05-05 21:28:50 +0000
URL:       https://git.openjdk.java.net/jdk/commit/6d7e4461620866992975eb9d5de1519e558de7da
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thread dump prints ""Carrying virtual thread"" twice",JDK-8283297,5070467,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,rpressler,alanb,alanb,2022-03-17 01:13,2022-03-18 12:38,2023-10-01 09:56,2022-03-18 12:38,repo-loom,,,,,,,,,,hotspot,,0,,,,,,,,,,,,,,,,,,,"
Markus spotted that the thread dump may print the message twice, e.g.

""ForkJoinPool-1-worker-9"" #106 [35696] daemon prio=5 os_prio=0 cpu=449015.63ms elapsed=1390.99s tid=0x0000026ca032c030  [0x000000c82ddfe000]
   Carrying virtual thread #3070235
Thread: 0x0000026ca032c030  [0x8b70] State: _at_safepoint _at_poll_safepoint 0
   Carrying virtual thread #3070235
   JavaThread state: _thread_blocked
	at jdk.internal.vm.Continuation.run(java.base/Continuation.java:271)
	at java.lang.VirtualThread.runContinuation(java.base/VirtualThread.java:217)
	at java.lang.VirtualThread$$Lambda$124/0x0000000080136358.run(java.base/Unknown Source)
	at java.util.concurrent.ForkJoinTask$RunnableExecuteAction.exec(java.base/ForkJoinTask.java:1428)
	at java.util.concurrent.ForkJoinTask.doExec(java.base/ForkJoinTask.java:373)
	at java.util.concurrent.ForkJoinPool$WorkQueue.topLevelExec(java.base/ForkJoinPool.java:1191)
	at java.util.concurrent.ForkJoinPool.scan(java.base/ForkJoinPool.java:1634)
	at java.util.concurrent.ForkJoinPool.runWorker(java.base/ForkJoinPool.java:1601)
	at java.util.concurrent.ForkJoinWorkerThread.run(java.base/ForkJoinWorkerThread.java:167)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2wdcz:",9223372036854775807,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@762b8a4b,,,,,,,,,"2022-03-18 12:38;rpressler;Fixed by https://git.openjdk.java.net/loom/commit/c512d9268cc331f0edba42e75450a7ce7245f8bc;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFR: Rename CheckPoint,JDK-8283289,5070451,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,egahlin,egahlin,egahlin,2022-03-16 14:41,2022-03-23 17:42,2023-10-01 09:56,2022-03-18 06:31,19,,,,,,,,,19,hotspot,,0,,,,,,,,,,,,,,,,,,,"Code related to checkpoint events should be spelled ""checkpoint"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8283378,JDK-8283377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2wd9f:",9223372036854775807,b15,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@42995637,,,,,,,,,"2022-03-16 16:13;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/jdk/pull/7847
Date: 2022-03-16 21:44:03 +0000;;;","2022-03-18 06:31;dukebot;Changeset: c72bcfc1
Author:    Erik Gahlin <egahlin@openjdk.org>
Date:      2022-03-18 13:27:49 +0000
URL:       https://git.openjdk.java.net/jdk/commit/c72bcfc1b230d22137ac7f683cf46dc70b6e3d16
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
[LOOM] vmTestbase/nsk/jdi/StackFrame/_bounds_/bounds002 is sometimes failing in vthread mode,JDK-8283288,5070450,Bug,Closed,JDK,JDK,software,duke,,,P4,Fixed,cjplummer,cjplummer,cjplummer,2022-03-16 14:39,2022-03-18 23:36,2023-10-01 09:56,2022-03-18 23:36,repo-loom,,,,,,,,,repo-loom,core-svc,,0,noreg-self,,,,,,,,,,,,,,,,,,"This is a test that was recently modified to expect OpaqueFrameException from JDI, since it uses underlying debugging functionality that is not supported for vthreads (setting a local on a frame that is not the topmost frame). Changing it to expect OpaqueFrameException allows the test to pass, and it was also removed from the problem list at the time:

https://github.com/openjdk/loom/commit/6a9145b68e691853c7eeddb6409409137cde7b7b

This is the failure:

setValue(variable, null)
# ERROR: debugger FAILURE> Expected OpaqueFrameException
The following stacktrace is for failure analysis.
nsk.share.TestFailure: debugger FAILURE> Expected OpaqueFrameException
	at nsk.share.Log.logExceptionForFailureAnalysis(Log.java:432)
	at nsk.share.Log.complain(Log.java:403)
	at nsk.jdi.StackFrame._bounds_.bounds002.complain(bounds002.java:68)
	at nsk.jdi.StackFrame._bounds_.bounds002.execTest(bounds002.java:192)
	at nsk.jdi.StackFrame._bounds_.bounds002.run(bounds002.java:86)
	at nsk.jdi.StackFrame._bounds_.bounds002.main(bounds002.java:72)

The reason this is expected to result in OpaqueFrameException is because StackFrame.setValue() is called on the debuggee main() method, and the debuggee is expected to be blocked on the pipe.readln() call that is made from main(), thus main() is expected to not be the topmost frame. However, it's possible that after initially suspending the debuggee, main() has not yet made it as far as the pipe.readln() call, so it is actually safe to set a local in the main() method.

There is a loop at the top of the test that looks for main() in the stack trace. It should also be able to determine if main() is the topmost frame or not, and then adjust the test's expectations based on that.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2wd97:",9223372036854775807,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@3397f701,,,,,,,,,"2022-03-18 23:36;cjplummer;Fixed in the loom repo by https://github.com/openjdk/loom/commit/6d31fb137069c1fe7b15c9546cf8756561c4ca5a;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClassLoader.c cleanups,JDK-8283287,5070449,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,tsteele,tsteele,tsteele,2022-03-16 14:22,2022-03-23 17:43,2023-10-01 09:56,2022-03-19 00:10,,,,,,,,,,19,core-libs,,0,,,,,,,,,,,,,,,,,,,"I noticed some older-style code in ClassLoader.c while working on another issue. It's starting to feel like spring where I am, and I'd like to do a little tidying.

Suggested changes:

- Alphabetize includes
- Change instances of 'if (ptr == 0)' to 'if (ptr == NULL)'
- Change instances of 'return 0' to 'return NULL'
- Wrap the bodies of if statements in curly-braces.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2wd8z:",9223372036854775807,b15,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@5ae6d091,,,,,,,,,"2022-03-16 14:30;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/jdk/pull/7846
Date: 2022-03-16 21:25:37 +0000;;;","2022-03-19 00:10;dukebot;Changeset: 3e58a438
Author:    Tyler Steele <tyler.steele@ibm.com>
Committer: Thomas Stuefe <stuefe@openjdk.org>
Date:      2022-03-19 07:06:47 +0000
URL:       https://git.openjdk.java.net/jdk/commit/3e58a438e9051d4c976273eea35e36d37d5428c3
;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual threads don't correctly maintain the stack reserve zone ,JDK-8283286,5070448,Bug,Closed,JDK,JDK,software,duke,,,P3,Fixed,dlong,rpressler,rpressler,2022-03-16 14:03,2022-04-14 08:24,2023-10-01 09:56,2022-04-14 08:24,repo-loom,,,,,,,,,repo-loom,hotspot,,0,,,,,,,,,,,,,,,,,,,"If a virtual thread parks while inside a method annotated with @ReservedStackAccess, the state of the stack guard is not cleared, and isn't reestablished when the thread remounts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2wd8r:",9223372036854775807,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@762b8a4b,,,,,,,,,"2022-04-14 08:24;rpressler;Disabled reserved stack area in virtual threads:

https://git.openjdk.java.net/loom/commit/4c54c53e9f113c262203e330775c95e1123b23b5;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Testbug] Improve TestGetSwapSpaceSize,JDK-8283279,5070440,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,sgehwolf,sgehwolf,sgehwolf,2022-03-16 11:44,2022-08-02 11:13,2023-10-01 09:56,2022-03-23 08:02,,,,,,,,,,19,core-svc,,0,docker,jdk17u-fix-request,jdk17u-fix-yes,noreg-self,testbug,,,,,,,,,,,,,,"JDK-8242480 introduced a test for verifying that swap space size doesn't become negative. The premise is that if --memory and --memory-swap are set to the same value (i.e. no swap), the OperatingSystemMXBean should not return negative values.

However the test might spuriously pass if, for some reason, the host values get returned by the OperatingSystemMXBean. Since the test always runs in a container environment this should not happen and the test should fail.

The test needs to get improved to fail if some strange swap sizes are being returned. E.g. --memory X --memory-swap X, but OperatingSystemMXBean.getTotalSwapSpaceSize > 0.",,,,,,,,,,,JDK-8284513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8242480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linux,,,,,"0|i2wd6z:",9223372036854775807,b16,,,,,,,,,,,"2022-03-17 06:45;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/jdk/pull/7854
Date: 2022-03-17 13:40:53 +0000;;;","2022-03-23 08:02;dukebot;Changeset: a7716006
Author:    Severin Gehwolf <sgehwolf@openjdk.org>
Date:      2022-03-23 15:00:05 +0000
URL:       https://git.openjdk.java.net/jdk/commit/a77160065bb6f62314711514f7694fe50f0dc35b
;;;","2022-04-06 06:00;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/jdk17u-dev/pull/339
Date: 2022-04-06 12:53:57 +0000;;;","2022-04-06 08:55;sgehwolf;Fix Request (OpenJDK 17u):

Please approve backporting this test-only fix to 17u. The test might spuriously pass earlier if pre-condition isn't met. This is now asserted. Should be low risk as it is a test-only change. Container tests continue to pass.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
ISO 4217 Amendment 171 Update,JDK-8283277,5070438,Bug,Closed,JDK,JDK,software,duke,,,P3,Fixed,naoto,naoto,naoto,2022-03-16 11:06,2023-04-17 06:48,2023-10-01 09:56,2022-03-21 08:34,,,,,,,,,,19,core-libs,,0,CPU22_10-critical-approved,CPU22_10-critical-SQE-OK,iso4217,jdk11u-fix-request,jdk11u-fix-yes,jdk13u-fix-request,jdk13u-fix-yes,jdk15u-fix-request,jdk15u-fix-yes,jdk17u-fix-request,jdk17u-fix-yes,jdk8u-fix-request,jdk8u-fix-yes,,,,,,"The Sierra Leonean LEONE (SLL) is redenominated by removing three (3) zeros from the
denominations. A new currency code SLE/925 representing the new valuation
(1’000 times old SLL/694) is introduced on 1st April 2022 for any internal needs during the
redenomination process, and is replacing SLL as the official currency code, after the transition
period to be determined.
During this transition period, both the old Leone and new Leone will be in physical circulation
for at least 90 days.
The Bank of Sierra Leone will adopt the new code in the local system but SLL/694 shall
remain in use until further notice.
The Sierra Leonean currency shall continue to be the LEONE and this will not change
after redenomination.",,,,,,,,,,,JDK-8291811,JDK-8291115,JDK-8292400,JDK-8306097,JDK-8292012,JDK-8291817,JDK-8290771,JDK-8291529,JDK-8292013,JDK-8299654,JDK-8300349,JDK-8291773,JDK-8292399,JDK-8291123,JDK-8291784,,,,,,,,,,,,,,,,,,,,,,,JDK-8289549,,,,,,JDK-8291062,,,,,,"2022-03-16 11:09;naoto;dl_currency_iso_amendment_171.pdf;https://bugs.openjdk.org/secure/attachment/98304/dl_currency_iso_amendment_171.pdf",,,,,,,,,,,,,,generic,,,,,,,,,generic,,,,,"0|i2wd6j:",9223372036854775807,b15,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@7644fb4c,,,,,,,Verified,,"2022-03-17 11:36;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.java.net/jdk/pull/7857
Date: 2022-03-17 18:10:17 +0000;;;","2022-03-21 08:34;dukebot;Changeset: c4dc58e1
Author:    Naoto Sato <naoto@openjdk.org>
Date:      2022-03-21 15:33:09 +0000
URL:       https://git.openjdk.java.net/jdk/commit/c4dc58e12e197562dce90c0027aa74c29047cea6
;;;","2022-08-03 13:44;goetz;Fix request [17u]

I backport this for parity with 17.0.5-oracle.
A recurring update we should take.
Clean backport.
SAP nightly testing passed.;;;","2022-08-03 15:09;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk17u-dev/pull/626
Date: 2022-08-03 20:43:40 +0000;;;","2022-08-03 15:09;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk11u-dev/pull/1310
Date: 2022-08-03 20:43:10 +0000;;;","2022-08-04 07:03;goetz;Fix request [11u]

I backport this for parity with 11.0.17-oracle.
A recurring update we should take. 
Clean backport except for resolving the @bugs in one of the tests.
SAP nightly testing passed.;;;","2022-08-15 07:16;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk15u-dev/pull/253
Date: 2022-08-15 14:07:28 +0000;;;","2022-08-15 07:18;yan;Fix request (13u, 15u):

regular (someway belated here) change for every release train.
Not formally clean backport: different lists of bugs in the tests. All currency, resources tests run fine.;;;","2022-08-15 07:30;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk13u-dev/pull/387
Date: 2022-08-15 14:20:13 +0000;;;","2022-12-02 05:36;dcherepanov;Fix request (8u)
requesting backport for parity with Oracle's jdk8u. Pull request (reviewed by Paul): https://github.com/openjdk/jdk8u-dev/pull/202 ;;;","2022-12-02 05:40;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk8u-dev/pull/202
Date: 2022-12-02 13:33:24 +0000;;;",,,,,,,,,,,,,,,,,,,
java/io/ObjectStreamClass/ObjectStreamClassCaching.java fails with various GCs,JDK-8283276,5070437,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,plevart,shade,shade,2022-03-16 10:27,2023-08-09 09:50,2023-10-01 09:56,2022-08-04 06:30,17,19,20,,,,,,,20,core-libs,,0,amazon-interest,hgupdate-sync,jdk17u-fix-request,jdk17u-fix-yes,noreg-self,redhat-interest,testbug,,,,,,,,,,,,"Test passes fine with G1. But it fails with other GCs, for example Parallel, Shenandoah, etc:

$ CONF=linux-x86_64-server-fastdebug make test TEST=java/io/ObjectStreamClass/ObjectStreamClassCaching.java TEST_VM_OPTS=""-XX:+UseParallelGC""

test ObjectStreamClassCaching.testCacheReleaseUnderMemoryPressure(): success
test ObjectStreamClassCaching.testCachingEffectiveness(): failure
java.lang.AssertionError: Cache lost entry although memory was not under pressure expected [false] but found [true]
	at org.testng.Assert.fail(Assert.java:99)
	at org.testng.Assert.failNotEquals(Assert.java:1037)
	at org.testng.Assert.assertFalse(Assert.java:67)

This is probably because System.gc() request in the test is handled by different GCs differently.

In fact, the test fails with G1 if we do a second System.gc() in this test. So the test itself is flaky. We should probably stop doing GCs altogether there. ",,,,,,,,,,,JDK-8292129,JDK-8291910,JDK-8314057,JDK-8292151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8277072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i2wd6b:",9223372036854775807,b10,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@7e74daa7,,,,,,,,,"2022-03-16 10:31;shade;Roman, please take a look?;;;","2022-06-15 23:29;shade;This test keeps failing for me in testing, taking over.;;;","2022-06-15 23:30;shade;In fact, the test fails with G1 if we do a second System.gc() in this test. So the test itself is flaky. We should probably stop doing GCs altogether there.;;;","2022-06-16 01:15;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk19/pull/27
Date: 2022-06-16 08:08:15 +0000;;;","2022-07-18 00:49;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/9533
Date: 2022-07-18 07:40:53 +0000;;;","2022-07-29 02:18;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/9684
Date: 2022-07-29 09:05:53 +0000;;;","2022-08-04 06:30;dukebot;Changeset: d4a795d7
Author:    Peter Levart <plevart@openjdk.org>
Date:      2022-08-04 13:25:15 +0000
URL:       https://git.openjdk.org/jdk/commit/d4a795d75aef8d787934f5c05e146c61138a408a
;;;","2022-08-04 06:47;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk19/pull/162
Date: 2022-08-04 13:38:08 +0000;;;","2022-08-04 20:55;dukebot;Changeset: 4b3dfe1d
Author:    Peter Levart <plevart@openjdk.org>
Date:      2022-08-04 16:53:57 +0000
URL:       https://git.openjdk.org/jdk/commit/4b3dfe1d22f7fed8a408ee50343d52cf1ac481ef
;;;","2023-08-07 18:36;serb;Fix request (17u)

Clean backport. The fix for a tesbug..

Review 17u-dev: https://github.com/openjdk/jdk17u-dev/pull/1645;;;","2023-08-07 18:39;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk17u-dev/pull/1645
Date: 2023-08-08 00:27:51 +0000;;;",,,,,,,,,,,,,,,,,,,
