Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Outward issue link (Backport),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (CSR),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field ( Type of Bug [Challenge] ),Custom field (CPU),Custom field (CPU),Custom field (CPU),Custom field (Cost of Delay),Custom field (Epic Link),Custom field (Imported),Custom field (Indexed),Custom field (Introduced In Build),Custom field (Introduced In Version),Custom field (Number of Tests Affected [Challenge]),Custom field (OS),Custom field (OS),Custom field (Oracle Evaluation),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Resolved In Build),Custom field (Story Points),Custom field (Subcomponent),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time Spent),Custom field (Understanding),Custom field (Value),Custom field (Verification),Custom field (external_bug),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
MAP_FAILED definition seems to be obsolete in src/java.desktop/unix/native/common/awt/fontpath.c,JDK-8311917,5105290,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,mbaesken,mbaesken,mbaesken,2023-07-12 00:00,2023-07-31 07:50,2023-10-01 09:55,2023-07-13 00:13,21,22,,,,,22,client-libs,,0,jdk21u-fix-request,jdk21u-fix-SQE-ok,jdk21u-fix-yes,,,,,,,,,,,,,,,There is a MAP_FAILED definition in src/java.desktop/unix/native/common/awt/fontpath.c but it is never used in the coding and seems to be obsolete.,,,,,,,,,,,JDK-8313418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,generic,,,,,,,,,,generic,,,,,"0|i329kr:",9223372036854775807,b07,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@4b09ce31,,,,,,,,,"2023-07-12 00:12;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/14843
Date: 2023-07-12 07:07:05 +0000;;;","2023-07-13 00:12;dukebot;Changeset: a38a421f
Author:    Matthias Baesken <mbaesken@openjdk.org>
Date:      2023-07-13 07:11:14 +0000
URL:       https://git.openjdk.org/jdk/commit/a38a421f62efbcc0fc9c6a08738b5f0ab38a4594
;;;","2023-07-31 00:44;mbaesken;jdk21u backport request
I would like to have the change in jdk21u as well, because the cleanup would be nice to have there too. Risk is low, backport is clean.,;;;","2023-07-31 00:49;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk21u/pull/24
Date: 2023-07-31 07:40:43 +0000;;;",,,,,,,,,,,,,,,,,,,
Concurrency regression in the PBKDF2 key impl of SunJCE provider,JDK-8311902,5105276,Bug,Closed,JDK,JDK,software,duke,,,P2,Fixed,valeriep,valeriep,valeriep,2023-07-11 17:07,2023-07-27 06:37,2023-10-01 09:55,2023-07-19 15:30,21,,,,,,21,security-libs,,0,amazon-interest,noreg-other,,,,,,,,,,,,,,,,Changes for JDK-8301553 introduced a concurrency regression to the PBKDF2 key implementation of the SunJCE provider. This should be fixed.,,,,,,,,,,,JDK-8312957,JDK-8312305,,,,,,,,,,,,,,,,,JDK-8310553,JDK-8311297,,,,JDK-8301553,,,,JDK-8312306,,,,,,,,,,,generic,,,,,,,,,,generic,,,,,"0|i329hn:",9223372036854775807,b32,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@35a9b277,,,,,,,Verified,,"2023-07-12 19:51;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/14859
Date: 2023-07-13 02:46:10 +0000;;;","2023-07-19 10:58;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk21/pull/139
Date: 2023-07-19 17:51:20 +0000;;;","2023-07-19 18:26;dukebot;Changeset: 6786fa4b
Author:    Valerie Peng <valeriep@openjdk.org>
Date:      2023-07-20 01:23:53 +0000
URL:       https://git.openjdk.org/jdk21/commit/6786fa4bfd536897b80136ee912a387a45957115
;;;",,,,,,,,,,,,,,,,,,,,
jdk/javax/swing/ProgressMonitor/ProgressTest.java does not show the ProgressMonitorInputStream all the time,JDK-8311881,5105251,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,psadhukhan,landrews,landrews,2023-07-11 10:07,2023-07-27 10:51,2023-10-01 09:55,2023-07-24 02:24,20,21,,,,,22,client-libs,,0,atr,macos,,,,,,,,,,,,,,,,If jdk/javax/swing/ProgressMonitor/ProgressTest.java is run back to back or on the first run ProgressMonitorInputStream is not shown. User can see only test instruction frame.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2023-07-11 22:09;psadhukhan;progressmonitor.png;https://bugs.openjdk.org/secure/attachment/104572/progressmonitor.png",,,,,,,generic,,,,,,,,,,os_x,windows,,,,"0|i329c3:",9223372036854775807,b08,,,,,,,,,,,"2023-07-11 10:32;azvegint;At least I can see this on macOS.
The progress bar window appears after adding Thread.sleep(250); before the thread.start();

However, I can observe another strange thing: 
When I change the delay to 500, it is no longer displays ""MB Read"" note

pmis.getProgressMonitor().setNote(total/(1024*1024)+"" MB Read"");;;;","2023-07-11 22:08;psadhukhan;[~landrews] In which platform you see this? Since you made it as generic, I thought you have seen this in all platform.
I could not reproduce this in windows10 in multiple tries(6-7) back to back..Attached is screenshot I see...;;;","2023-07-11 22:39;landrews;[~psadhukhan], I found this issue in MAC OS x86_64 13.2.1;;;","2023-07-12 01:36;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/14844
Date: 2023-07-12 07:36:56 +0000;;;","2023-07-14 02:33;tr;I am able to reproduce the issue in Windows too. It's not MacOS specific.;;;","2023-07-24 02:24;dukebot;Changeset: 197981b4
Author:    Prasanta Sadhukhan <psadhukhan@openjdk.org>
Date:      2023-07-24 09:22:14 +0000
URL:       https://git.openjdk.org/jdk/commit/197981b431fb7c7e6740ac45a671b99d1c7583c6
;;;",,,,,,,,,,,,,,,,,
SA ClassWriter generates invalid invokedynamic code,JDK-8311879,5105245,Bug,Resolved,JDK,JDK,software,duke,,,P3,Fixed,dqu,asotona,asotona,2023-07-11 08:34,2023-07-24 17:25,2023-10-01 09:55,2023-07-19 12:27,,,,,,,22,hotspot,,0,noreg-other,,,,,,,,,,,,,,,,,"Invokedynamic instructions generated by the SA ClassWriter do not refer to valid constant pool entries.

More strict constant pool control in javap reveals that `serviceability/sa/ClhsdbDumpclass.java` test fails with errors (see attached log).
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8294969,JDK-8311103,,,,,,,"2023-07-11 08:35;asotona;error.log;https://bugs.openjdk.org/secure/attachment/104560/error.log",,,,,,,,,,,,,,,,,,,,,,"0|i329ar:",9223372036854775807,b07,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@714e388c,,,,,,,,,"2023-07-12 02:14;dqu;Hi Adam, I think it is a good catch because `javap` doesn't verify this!

And the fix seems also to be straightforward.

--- a/src/jdk.hotspot.agent/share/classes/sun/jvm/hotspot/tools/jcore/ByteCodeRewriter.java
+++ b/src/jdk.hotspot.agent/share/classes/sun/jvm/hotspot/tools/jcore/ByteCodeRewriter.java
@@ -102,7 +102,7 @@ public class ByteCodeRewriter
           // Invokedynamic require special handling
           cpCacheIndex = ~cpCacheIndex;
           cpCacheIndex = bytes.swapInt(cpCacheIndex);
-          return (short) cpCache.getEntryAt(cpCacheIndex).getConstantPoolIndex();
+          return (short) cpCache.getIndyEntryAt(cpCacheIndex).getConstantPoolIndex();
        } else if (fmt.contains(""JJ"")) {
           // change byte-ordering and go via cache
           return (short) cpCache.getEntryAt((int) (0xFFFF & bytes.swapShort((short)cpCacheIndex))).getConstantPoolIndex();

According to the code snippet in hotspot:

https://github.com/openjdk/jdk/blob/753bd563ecca6bb5ff9b5ebc0957bc1854dce78d/src/hotspot/share/interpreter/rewriter.cpp#L291-L294

;;;","2023-07-12 06:58;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/14852
Date: 2023-07-12 13:49:17 +0000;;;","2023-07-12 16:25;cjplummer;Added noreg-other label since the issue is not reproducible until JDK-8294969  is pushed.;;;","2023-07-12 20:30;dqu;Thanks for your information, Chris. An assertion like the following code snippet in `sun.jvm.hotspot.tools.jcore.ByteCodeRewriter` might also catch this.

short cpIndex = (short) cpCache.getIndyEntryAt(cpCacheIndex).getConstantPoolIndex();
Assert.that(cpool.getTagAt(cpIndex).isInvokeDynamic(), ""CP Entry should be InvokeDynamic"");

You could refer to my PR above.;;;","2023-07-13 11:19;iklam;I changed the name to ""SA ClassWriter generates invalid invokedynamic code"" since we have multiple ClassWriter.java in the JDK repo.;;;","2023-07-13 19:31;dqu;Yes, thank you, Ioi. I’ll update the PR name accordingly.;;;","2023-07-19 12:27;dukebot;Changeset: aa23fd98
Author:    Daohan Qu <dqu@openjdk.org>
Committer: Chris Plummer <cjplummer@openjdk.org>
Date:      2023-07-19 19:25:40 +0000
URL:       https://git.openjdk.org/jdk/commit/aa23fd98f528069f5c613f43e335a0585a490176
;;;",,,,,,,,,,,,,,,,
[Lilliput] Disallow accessing oop metadata vmStructs with +UCOH,JDK-8311875,5105239,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,shade,shade,shade,2023-07-11 06:53,2023-07-19 04:23,2023-10-01 09:55,2023-07-19 04:23,repo-lilliput,,,,,,repo-lilliput,hotspot,,0,lilliput,,,,,,,,,,,,,,,,,"Similar to JDK-8311866, but for mainline version.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8311866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i3299f:",9223372036854775807,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@762b8a4b,,,,,,,,,"2023-07-11 07:50;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/lilliput/pull/101
Date: 2023-07-11 14:45:06 +0000;;;",,,,,,,,,,,,,,,,,,,,,,
StructuredTaskScope.shutdown does not interrupt newly started threads,JDK-8311867,5105225,Bug,Resolved,JDK,JDK,software,duke,,,P3,Fixed,alanb,dbessono,dbessono,2023-07-11 03:25,2023-07-25 04:41,2023-10-01 09:55,2023-07-13 00:34,21,,,,,,22,core-libs,,0,conformance,hgupdate-sync,loom,,,,,,,,,,,,,,,"The following doesn't complete (shutdown) in a short period of time as expected (checked on MacOS/arm64)

        for (int i = 0; i<10; i++) {
            try (var stof = new StructuredTaskScope.ShutdownOnFailure(""name"", r -> Thread.ofPlatform().unstarted(r))) {
                stof.fork(() -> {
                    Thread.sleep(Duration.ofMinutes(5));
                    return ""result 2"";
                });
                stof.fork(() -> {throw new RuntimeException(""exception 1""); });
                stof.fork(() -> {
                    Thread.sleep(Duration.ofMinutes(5));
                    return ""result 3"";
                });
                stof.join();
            }
        }


No problem seen if switching to Thread.ofVirtual() (and any number of iterations)",,,,,,,,,,,JDK-8312918,JDK-8312066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i3296b:",9223372036854775807,b07,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@239b1eeb,,,,,,,,,"2023-07-11 04:34;alanb;I've changed the title on this issue to make it a bit clearer what this is about. This a timing bug with shutdown while new threads are starting. More specifically, the underlying thread flock is filtering out unstarted threads, which seems to be a left over from the original thread dump code in the loom repo.;;;","2023-07-11 23:59;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/14833
Date: 2023-07-11 17:03:26 +0000;;;","2023-07-13 00:34;dukebot;Changeset: 92a04e20
Author:    Alan Bateman <alanb@openjdk.org>
Date:      2023-07-13 07:33:01 +0000
URL:       https://git.openjdk.org/jdk/commit/92a04e201e68aa4d682053cef4b36180ec5620f5
;;;","2023-07-13 11:07;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk21/pull/123
Date: 2023-07-13 15:58:24 +0000;;;",,,,,,,,,,,,,,,,,,,
[Lilliput/JDK17] Disallow accessing oop metadata vmStructs with +UCOH,JDK-8311866,5105224,Bug,Resolved,JDK,JDK,software,duke,,,P2,Fixed,shade,shade,shade,2023-07-11 03:23,2023-07-12 08:34,2023-10-01 09:55,2023-07-12 08:34,repo-lilliput-17,,,,,,repo-lilliput-17,hotspot,,0,lilliput,,,,,,,,,,,,,,,,,"Allowing external tools to access e.g. `oopDesc::_metadata._klass` with `+UCOH` is error-prone. We have seen async-profiler poking into this field to resolve classes:
 
https://github.com/async-profiler/async-profiler/blob/117594bb4d1ce61b073c8a9cea438b33f3f09c81/src/vmStructs.cpp#L158-L161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8311875,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i32963:",9223372036854775807,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@762b8a4b,,,,,,,,,"2023-07-11 03:59;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/lilliput-jdk17u/pull/51
Date: 2023-07-11 10:51:53 +0000;;;",,,,,,,,,,,,,,,,,,,,,,
"GenShen: assertion failed ""Old generation affiliated regions must be less than capacity""",JDK-8311843,5105200,Bug,Resolved,JDK,JDK,software,duke,,,P2,Fixed,wkemper,wkemper,wkemper,2023-07-10 15:32,2023-08-29 13:52,2023-10-01 09:55,2023-08-29 13:52,repo-shenandoah,,,,,,,hotspot,,0,amazon-interest,gc-shenandoah,genshen,,,,,,,,,,,,,,,"This assertion failure has been observed in `TestAllocOutOfMemory.java` and `TestThreadFailure.java`.

```
#
# A fatal error has been detected by the Java Runtime Environment:
#
#  Internal Error (/Users/runner/work/shenandoah/shenandoah/src/hotspot/share/gc/shenandoah/shenandoahFullGC.cpp:184), pid=6021, tid=18435
#  assert(heap->old_generation()->used_regions_size() <= heap->old_generation()->max_capacity()) failed: Old generation affiliated regions must be less than capacity
#
# JRE version: OpenJDK Runtime Environment (22.0) (fastdebug build 22-internal-earthling-amzn-5c2860661e52317ff513ca58924d71f1d8fff596)
# Java VM: OpenJDK 64-Bit Server VM (fastdebug 22-internal-earthling-amzn-5c2860661e52317ff513ca58924d71f1d8fff596, mixed mode, sharing, tiered, compressed oops, compressed class ptrs, shenandoah gc, bsd-amd64)
# No core dump will be written. Core dumps have been disabled. To enable core dumping, try ""ulimit -c unlimited"" before starting Java again
#
# If you would like to submit a bug report, please visit:
#   https://bugreport.java.com/bugreport/crash.jsp
#
```",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8311883,,,,,,,,"2023-08-17 22:31;ysr;TestClassLoaderLeak.jtr;https://bugs.openjdk.org/secure/attachment/105159/TestClassLoaderLeak.jtr",,,,,,,,,,,,,,,,,,,,,,"0|i3290r:",9223372036854775807,,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@6b00f96c,,,,,,,,,"2023-07-28 15:09;ysr;Recently observed in GHA testing at https://github.com/ysramakrishna/shenandoah/actions/runs/5694503099 with the following tests:
* gc/shenandoah/oom/TestClassLoaderLeak
* gc/shenandoah/oom/TestThreadFailure

Seems to be pretty difficult to reproduce on my local repo so far.;;;","2023-08-15 15:22;ysr;I seem to now have a reproducible test case. I'll pick this up.;;;","2023-08-17 22:34;ysr;This appears to be an issue with the region affiliation accounting by a full gc.
A jtr file is attached from TestClassLoaderLeak with genshen w/adaptive tenuring enabled:

```
CONF=fastdebug make test TEST=""test/hotspot/jtreg/gc/shenandoah/oom/TestClassLoaderLeak.java""
```;;;","2023-08-18 11:41;ysr;Reprioritized to P2, since it's a fastdebug jtreg failure and indicates an invariant violation that might compromise subsequent operation.;;;","2023-08-21 12:08;ysr;This seems to be the crux of the issue. It appears as if, at least in my set up, I need `-ClassUnloading +ClassUnloadingWithConcMark +ShenandoahGenerationalAdaptiveTenuring` to be true and then this happens reliably. Need to look at the combination of class unloading flags to make sure that we don't end up with wires crossed. The test explicitly wants to check for this, per test modes and comments for each of the test modes, requiring the global setting `-ClassUnloading` to override local settings that might conflict. (Note to self: I'd like to also verify that configuration doesn't change if order of these flags is reversed etc.).
```
#
# A fatal error has been detected by the Java Runtime Environment:
#
#  Internal Error (/home/ysr/workplace/ysr/genshen-ysr/shenandoah/src/hotspot/share/gc/shenandoah/shenandoahVerifier.cpp:433), pid=40059, tid=40069
#  guarantee(stats.span() <= generation_capacity) failed: After Full GC: generation (OLD) size spanned by regions (479) must not exceed current capacity (119M)
#
# JRE version: OpenJDK Runtime Environment (22.0) (slowdebug build 22-internal-adhoc.ysr.shenandoah)
# Java VM: OpenJDK 64-Bit Server VM (slowdebug 22-internal-adhoc.ysr.shenandoah, mixed mode, sharing, tiered, compressed oops, compressed class ptrs, shenandoah gc, linux-amd64)
# Problematic frame:
# V  [libjvm.so+0x1436c97]  ShenandoahGenerationStatsClosure::validate_usage(bool, char const*, ShenandoahGeneration*, ShenandoahCalculateRegionStatsClosure&)+0x249
#
# No core dump will be written. Core dumps have been disabled. To enable core dumping, try ""ulimit -c unlimited"" before starting Java again
#
# If you would like to submit a bug report, please visit:
#   https://bugreport.java.com/bugreport/crash.jsp
#

---------------  S U M M A R Y ------------

Command Line: -Xmx128m -XX:+UnlockExperimentalVMOptions -XX:+UnlockDiagnosticVMOptions -XX:+UseShenandoahGC -Xlog:gc*=info -XX:+ShenandoahVerify -XX:+VerifyBeforeGC -XX:+VerifyAfterGC -XX:ShenandoahGCMode=generational -XX:ShenandoahGCHeuristics=adaptive -XX:-ClassUnloading -XX:+ClassUnloadingWithConcurrentMark TestClassLoaderLeak test

Host: dev-dsk-ysr-2a-87502c94.us-west-2.amazon.com, Intel(R) Xeon(R) CPU E5-2676 v3 @ 2.40GHz, 40 cores, 157G, Amazon Linux release 2 (Karoo)
Time: Mon Aug 21 18:59:28 2023 UTC elapsed time: 2.399857 seconds (0d 0h 0m 2s)

---------------  T H R E A D  ---------------

Current thread (0x00007f2a9c209430):  VMThread ""VM Thread""          [id=40069, stack(0x00007f2a821fd000,0x00007f2a822fd000) (1024K)]

Stack: [0x00007f2a821fd000,0x00007f2a822fd000],  sp=0x00007f2a822fafe0,  free space=1015k
Native frames: (J=compiled Java code, j=interpreted, Vv=VM code, C=native code)
V  [libjvm.so+0x1436c97]  ShenandoahGenerationStatsClosure::validate_usage(bool, char const*, ShenandoahGeneration*, ShenandoahCalculateRegionStatsClosure&)+0x249  (shenandoahVerifier.cpp:433)
V  [libjvm.so+0x1433a3e]  ShenandoahVerifier::verify_at_safepoint(char const*, ShenandoahVerifier::VerifyRememberedSet, ShenandoahVerifier::VerifyForwarded, ShenandoahVerifier::VerifyMarked, ShenandoahVerifier::VerifyCollectionSet, ShenandoahVerifier::VerifyLiveness, ShenandoahVerifier::VerifyRegions, ShenandoahVerifier::VerifySize, ShenandoahVerifier::VerifyGCState)+0x972  (shenandoahVerifier.cpp:918)
V  [libjvm.so+0x143449b]  ShenandoahVerifier::verify_after_fullgc()+0x3d  (shenandoahVerifier.cpp:1173)
V  [libjvm.so+0x1374266]  ShenandoahFullGC::do_it(GCCause::Cause)+0x9b4  (shenandoahFullGC.cpp:383)
V  [libjvm.so+0x13735ae]  ShenandoahFullGC::op_full(GCCause::Cause)+0x2d4  (shenandoahFullGC.cpp:190)
V  [libjvm.so+0x1367757]  ShenandoahDegenGC::op_degenerated_futile()+0x35  (shenandoahDegeneratedGC.cpp:479)
V  [libjvm.so+0x13671e4]  ShenandoahDegenGC::op_degenerated()+0xb48  (shenandoahDegeneratedGC.cpp:349)
V  [libjvm.so+0x136663c]  ShenandoahDegenGC::entry_degenerated()+0xec  (shenandoahDegeneratedGC.cpp:86)
V  [libjvm.so+0x1432a23]  VM_ShenandoahDegeneratedGC::doit()+0x3b  (shenandoahVMOperations.cpp:67)
V  [libjvm.so+0x162ea3e]  VM_Operation::evaluate()+0xda  (vmOperations.cpp:71)
V  [libjvm.so+0x16985a6]  VMThread::evaluate_operation(VM_Operation*)+0x62  (vmThread.cpp:281)
V  [libjvm.so+0x1698e86]  VMThread::inner_execute(VM_Operation*)+0x3c4  (vmThread.cpp:435)
V  [libjvm.so+0x169927b]  VMThread::loop()+0x131  (vmThread.cpp:502)
V  [libjvm.so+0x169816c]  VMThread::run()+0xfa  (vmThread.cpp:175)
V  [libjvm.so+0x157e442]  Thread::call_run()+0x1a4  (thread.cpp:217)
V  [libjvm.so+0x1204afa]  thread_native_entry(Thread*)+0x1b9  (os_linux.cpp:783)

```;;;","2023-08-22 09:31;ysr;Reassigned to William as he's working on a fix.;;;","2023-08-25 10:51;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/shenandoah/pull/311
Date: 2023-08-25 17:45:44 +0000;;;",,,,,,,,,,,,,,,,
Duplicate qualified enum constants not detected,JDK-8311825,5105177,Bug,Resolved,JDK,JDK,software,duke,,,P3,Fixed,jlahoda,jlahoda,jlahoda,2023-07-10 08:30,2023-07-25 04:44,2023-10-01 09:55,2023-07-18 01:25,21,,,,,,21,tools,,0,,,,,,,,,,,,,,,,,,"This code compiles fine:
```
public enum QualEnum {
    A, B;
    private void test() {
        switch (this) {
           case QualEnum.A -> {}
           case QualEnum.A -> {}
           case QualEnum.B -> {}
        }
    }
}
```

although it should not.
",,,,,,,,,,,JDK-8312924,JDK-8312084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i328vn:",9223372036854775807,b32,,com.oracle.jira.customfield.subcomponent.service.impl.SubComponentCacheImpl@4dca67bd,,,,,,,,,"2023-07-13 05:58;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/14870
Date: 2023-07-13 12:52:28 +0000;;;","2023-07-14 03:07;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk21/pull/128
Date: 2023-07-14 09:58:28 +0000;;;","2023-07-18 01:25;dukebot;Changeset: b6827ff3
Author:    Jan Lahoda <jlahoda@openjdk.org>
Date:      2023-07-18 08:22:37 +0000
URL:       https://git.openjdk.org/jdk21/commit/b6827ff331b8a6ce89e50446788b1fcc626f4d92
;;;",,,,,,,,,,,,,,,,,,,,
AIX : test/jdk/java/foreign/TestLayouts.java fails because of different output - expected [[i4](struct)] but found [[I4](struct)],JDK-8311822,5105174,Bug,Resolved,JDK,JDK,software,duke,,,P4,Fixed,pminborg,mbaesken,mbaesken,2023-07-10 08:09,2023-08-08 03:56,2023-10-01 09:55,2023-07-24 08:02,22,,,,,,22,core-libs,,0,hgupdate-sync,,,,,,,,,,,,,,,,,"The jtreg test  jdk/java/foreign/TestLayouts.java  .
currently fails on AIX, it runs into this error  :
 
test TestLayouts.testStructSizeAndAlign(): success
test TestLayouts.testStructToString(): failure
java.lang.AssertionError: expected [[i4](struct)] but found [[I4](struct)]
        at org.testng.Assert.fail(Assert.java:99)
        at org.testng.Assert.failNotEquals(Assert.java:1037)
        at org.testng.Assert.assertEqualsImpl(Assert.java:140)
        at org.testng.Assert.assertEquals(Assert.java:122)
        at org.testng.Assert.assertEquals(Assert.java:629)
        at org.testng.Assert.assertEquals(Assert.java:639)
        at TestLayouts.testStructToString(TestLayouts.java:264)
        at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:103)
        at java.base/java.lang.reflect.Method.invoke(Method.java:580)
        at org.testng.internal.MethodInvocationHelper.invokeMethod(MethodInvocationHelper.java:132)
        at org.testng.internal.TestInvoker.invokeMethod(TestInvoker.java:599)
        at org.testng.internal.TestInvoker.invokeTestMethod(TestInvoker.java:174)
        at org.testng.internal.MethodRunner.runInSequence(MethodRunner.java:46)
        at org.testng.internal.TestInvoker$MethodInvocationAgent.invoke(TestInvoker.java:822)
        at org.testng.internal.TestInvoker.invokeTestMethods(TestInvoker.java:147)
        at org.testng.internal.TestMethodWorker.invokeTestMethods(TestMethodWorker.java:146)
        at org.testng.internal.TestMethodWorker.run(TestMethodWorker.java:128)
        at java.base/java.util.ArrayList.forEach(ArrayList.java:1593)
        at org.testng.TestRunner.privateRun(TestRunner.java:764)
        at org.testng.TestRunner.run(TestRunner.java:585)
        at org.testng.SuiteRunner.runTest(SuiteRunner.java:384)
        at org.testng.SuiteRunner.runSequentially(SuiteRunner.java:378)
        at org.testng.SuiteRunner.privateRun(SuiteRunner.java:337)
        at org.testng.SuiteRunner.run(SuiteRunner.java:286)
        at org.testng.SuiteRunnerWorker.runSuite(SuiteRunnerWorker.java:53)
        at org.testng.SuiteRunnerWorker.run(SuiteRunnerWorker.java:96)
        at org.testng.TestNG.runSuitesSequentially(TestNG.java:1218)
        at org.testng.TestNG.runSuitesLocally(TestNG.java:1140)
        at org.testng.TestNG.runSuites(TestNG.java:1069)
        at org.testng.TestNG.run(TestNG.java:1037)
        at com.sun.javatest.regtest.agent.TestNGRunner.main(TestNGRunner.java:93)
        at com.sun.javatest.regtest.agent.TestNGRunner.main(TestNGRunner.java:53)
        at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:103)
        at java.base/java.lang.reflect.Method.invoke(Method.java:580)
        at com.sun.javatest.regtest.agent.MainWrapper$MainThread.run(MainWrapper.java:125)
        at java.base/java.lang.Thread.run(Thread.java:1570)
test TestLayouts.testUnionPaddingAndAlign(B1): success
test TestLayouts.testUnionPaddingAndAlign(C2): success
 
This might be related to the fact that AIX is big-endian.",,,,,,,,,,,JDK-8313665,JDK-8313942,,,,,,,,,,,,,,,,,,,,,,,,,,JDK-8311630,,,,,,,,,,,ppc,,,,,,,,,,aix,,,,,"0|i328uz:",9223372036854775807,b08,,,,,,,,,,,"2023-07-10 20:23;amitkumar;I guess either this PR or similar change, could fix this test case:  https://github.com/openjdk/jdk/pull/14801/files#diff-85d59b266a1d8795247fe9de481098e56425da62a4e48d557c514328c5d5294c;;;","2023-07-11 07:59;rriggs;Please reassign if there is a more appropriate person to resolve this.;;;","2023-07-24 02:56;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk/pull/14994
Date: 2023-07-24 09:51:33 +0000;;;","2023-07-24 08:02;dukebot;Changeset: d1cc2782
Author:    Per Minborg <pminborg@openjdk.org>
Date:      2023-07-24 15:00:47 +0000
URL:       https://git.openjdk.org/jdk/commit/d1cc2782606e8a3cfead9055aa845e48e851edd4
;;;","2023-08-01 15:02;roboduke;A pull request was submitted for review.
URL: https://git.openjdk.org/jdk21/pull/157
Date: 2023-08-01 21:57:17 +0000;;;",,,,,,,,,,,,,,,,,,
